Monday, , , , , , , , , , , , , , 
2nd November 2015, , CSI, , CSI, CSI, CSI, CSI, CSI, , , , , , 
, Room No., B004, , B002, B003, B1.06, B1.08, B1.09, , , , , , 
Time, Capacity, 160, , 90, 90, 90, 40, 90, , , , , , 
9.00-10.00, , 0, , 0.25, 0, 0.75, 0, 0, , , , , , 
10.00-11.00, , 0, , 0, 0, 0.5, 0.25, 0, , , , , , 
11.00-12.00, , 0.25, , 0.25, 0.75, 0.25, 0.25, 0, , , , , , 
12.00-13.00, , 0.25, , 0.25, 0.75, 0.25, 0.25, 0, , , , , , 
13.00-14.00, , 0, , 0.25, 0.75, 0.25, 0.25, 0.25, , , , , , 
14.00-15.00, , 0, , 0, 0.5, 0.5, 0.5, 0.25, , , , , , 
15.00-16.00, , 0, , 0.25, 0.25, 0.25, 0.25, 0, , , , , , 
16.00-17.00, , 0, , 0.25, 0.5, 0, 0, 0, , , , , , 
, , 0, 1, 0.75, 0.25, 0.5, , , , , , , , 
Thursday, , , , , , , , , , , , , , 
12th November 2015, , CSI, , CSI, CSI, CSI, CSI, CSI, , , , , , 
, Room No., B004, , B002, B003, B1.06, B1.08, B1.09, , , , , , 
Time, Capacity, 160, , 90, 90, 90, 40, 90, , , , , , 
9.00-10.00, , 0.5, , 0, 0, 0, 0, 0, , , , , , 
10.00-11.00, , 0.5, , 0.25, 0, 0, 0, 0, , , , , , 
11.00-12.00, , 0.25, , 0.25, 0.25, 0.25, 0.25, 0, , , , , , 
12.00-13.00, , 0.25, , 0.25, 0.25, 0.25, 0, 0, , , , , , 
13.00-14.00, , 0.5, , 0, 0, 0.25, 0.5, 0.25, , , , , , 
14.00-15.00, , 0.5, , 0.5, 0.25, 0.5, 0.75, 0.25, , , , , , 
15.00-16.00, , 0.25, , 0.25, 0.25, 0.25, 0.5, 0, , , , , , 
16.00-17.00, , 0, , 0.25, 0, 0.25, 0, 0, , , , , , 
Friday, , , , , , , , , , , , , , 
13th November 2015, , CSI, , CSI, CSI, CSI, CSI, CSI, , , , , , 
, Room No., B004, , B002, B003, B1.06, B1.08, B1.09, , , , , , 
Time, Capacity, 160, , 90, 90, 90, 40, 90, , , , , , 
9.00-10.00, , 0, , 0, 0.5, 0.5, 0.75, 0, , , , , , 
10.00-11.00, , 0, , 0, 0.5, 0.25, 0.75, 0, , , , , , 
11.00-12.00, , 0, , 0, 0.25, 0.25, 0.25, 0, , , , , , 
12.00-13.00, , 0, , 0, 0.25, 0.5, 0.25, 0, , , , , , 
13.00-14.00, , 0, , 0, 0, 0.5, 0.25, 0, , , , , , 
14.00-15.00, , 0.5, , 0.25, 0.5, 0, 0, 0, , , , , , 
15.00-16.00, , 0.5, , 0.25, 0.25, 0, 0, 0, , , , , , 
16.00-17.00, , 0, , 0.25, 0.25, 0, 0.25, 0.25, , , , , , 
